cell_type,pvalue,padj
Activated_B_cell,0.8702827722915334,0.9025154675615902
Activated_CD4_T_cell,0.8702827722915334,0.9025154675615902
Activated_CD8_T_cell,0.46243272648702183,0.6165769686493624
Activated_dendritic_cell,0.2529990615134312,0.47515582200941137
CD56bright_natural_killer_cell,0.2884874633628569,0.47515582200941137
CD56dim_natural_killer_cell,0.08641073299938373,0.4032500873304574
Central_memory_CD4_T_cell,0.32718687782980305,0.4821701357491835
Central_memory_CD8_T_cell,0.2884874633628569,0.47515582200941137
Effector_memory_CD4_T_cell,0.2884874633628569,0.47515582200941137
Effector_memory_CD8_T_cell,0.10247043488779228,0.40988173955116913
Eosinophil,0.8064959405228262,0.9025154675615902
Gamma_delta_T_cell,0.6242061147947124,0.7599030962718238
Immature_B_cell,0.12081938656600988,0.4228678529810346
Immature_dendritic_cell,0.6242061147947124,0.7599030962718238
MDSC,0.3691075904766534,0.5167506266673147
Macrophage,0.02224312060226552,0.1924043528690793
Mast_cell,0.007050729115077203,0.1924043528690793
Memory_B_cell,0.06038908133024856,0.33817885544939197
Monocyte,0.027486336124154187,0.1924043528690793
Natural_killer_T_cell,0.9349253116474188,0.9349253116474188
Natural_killer_cell,0.2529990615134312,0.47515582200941137
Neutrophil,0.014305878443374498,0.1924043528690793
Plasmacytoid_dendritic_cell,0.1651235901629029,0.446642992305679
Regulatory_T_cell,0.19141842527386244,0.446642992305679
T_follicular_helper_cell,0.19141842527386244,0.446642992305679
Type_17_T_helper_cell,0.1416446903276518,0.4406723699082501
Type_1_T_helper_cell,0.32718687782980305,0.4821701357491835
Type_2_T_helper_cell,0.8064959405228262,0.9025154675615902
