table,rows
candidate_gene_summary.csv,4
deg_diabetic_vs_healthy.csv,25012
deg_npdr_pdr_dme_vs_diabetic.csv,25012
deg_nppr_vs_healthy.csv,25012
deg_primary_healthy_vs_npdr_pdr_dme.csv,25012
gene_immune_correlations.csv,0
gene_set_summary.csv,4
gsea_summary_matrix.csv,0
immune_primary_comparison.csv,28
immune_severity_trend.csv,28
immune_ssgsea_scores.csv,1064
inflammation_group_comparison.csv,1
inflammation_severity_trend.csv,1
inflammation_ssgsea_scores.csv,38
inflammatory_core_genes.csv,0
ipa_input_selected_genes.csv,0
lasso_coefficients.csv,0
lasso_selected_genes.csv,0
pathway_recurrence_summary.csv,0
pca_coordinates.csv,38
progressive_inflammatory_genes.csv,0
roc_combined_signature.csv,0
roc_individual_genes.csv,0
severity_trend_all_genes.csv,25012
signature_scores.csv,0
